,be,bg,bs,ca,cs,de,en,es,fr,hr,it,la,mk,nl,pl,pt,ro,ru,sk,sl,sr,sw,uk
50,дрэва,дърво,drvo,arbre,strom,Baum,tree,árbol,arbre,drvo,albero,arbor,дрво,boom,drzewo,árvore,"arbore, copac",дерево,strom,drevo,дрво,träd,дерево
51,лес,шума,gora,bosc,les,Wald,forest,bosque,forêt,gora,foresta,silva,шума,woud,bór,floresta,pădure,лес,les,gozd,гора,skog,ліс
52,палка,бастун,palica,bastó,pálka,Stock,stick,palo,bâton,palica,bastone,fustis,прачка,stok,pałka,"bastão, vara","băţ, baston",палка,tyč,palica,палица,pinne,палиця
53,садавіна,овошка,plod,"fruit, fruita",plod,Frucht,fruit,fruta,fruit,plod,frutta,fructus,плод,"fruit, vrucht",owoc,"fruta, fruto",fruct,фрукт,ovocie,plod,плод,frukt,фрукт
54,насеньне,семе,sjeme,llavor,sémě,Samen,seed,semilla,graine,sjeme,seme,semen,семе,zaad,nasionko,semente,"sămânţă, grăunte",семена,semeno,seme,семе,frö,насіння
55,ліст,лист,list,fulla,list,Blatt,leaf,hoja,feuille,list,foglia,folium,лист,blad,liść,folha,frunză,лист,list,list,лист,"löv, blad",листок
56,корань,корен,korijen,arrel,kořen,Wurzel,root,raíz,racine,korijen,radice,radix,корен,wortel,korzeń,raiz,rădăcină,корень,koreň,koren,корен,rot,корінь
57,кара,кора,kora,escorça,kůra,Rinde,bark (from tree),corteza,écorce,kora,corteccia,cortex,кора,schors,kora,casca,scoarţă,кора,kôra,skorja,кора,bark,кора
58,кветка,цвете,cvijet,flor,květ,Blume,flower,flor,fleur,cvijet,fiore,flos,цвет,bloem,kwiat,flor,floare,цветок,kvet,cvet,цвет,blomma,квітка
59,трава,трева,trava,herba,tráva,Gras,grass,"hierba, pasto",herbe,trava,erba,herba,трева,gras,trawa,"grama, erva",iarbă,трава,tráva,trava,трава,gräs,трава
60,шнур,въже,kanap,corda,šňůra,Seil,rope,cuerda,corde,konop,corda,funis,коноп,"touw, koord",sznur,corda,"sfoară, frânghie, coardă",верёвка,šnúra,vrv,канап,rep,мотузка
61,скура,кожа,koža,pell,kůže,Haut,skin,piel,peau,koža,pelle,cutis,кожа,huid,skóra,"pele, cútis",piele,шкура,koža,koža,кожа,hud,шкіра
62,мяса,месо,meso,carn,maso,Fleisch,meat,carne,viande,meso,carne,caro,месо,vlees,mięso,carne,carne,мясо,mäso,meso,месо,kött,м'ясо
63,кроў,кръв,krv,sang,krev,Blut,blood,sangre,sang,krv,sangue,sanguis,крв,bloed,krew,sangue,sânge,кровь,krv,kri,крв,blod,кров
64,костка,кокал,kost,os,kost,Knochen,bone,hueso,os,kost,osso,os,коска,"been, bot",kość,osso,os,кость,kosť,kost,кост,ben,кістка
65,тлушч,мазнина,salo,gras,maz,Fett,fat (noun),grasa,graisse,salo,grasso,adeps,сало,vet,sadło,gordura,grăsime,жир,"tuk,",maščoba,сало,fett,сало
66,яйка,яйце,jaje,ou,vejce,Ei,egg,huevo,œuf,jaje,uovo,ovum,јајце,ei,jajko,ovo,ou,яйцо,vajce,jajce,јаје,ägg,яйце
67,рог,рог,rog,banya,roh,Horn,horn,cuerno,corne,rog,corno,cornu,рог,hoorn,róg,"chifre, corno",corn,рог,roh,rog,рог,horn,ріг
68,хвост,опашка,rep,cua,chvost,Schwanz,tail,cola,queue,rep,coda,cauda,опашка,staart,ogon,"cauda, rabo",coadă,хвост,chvost,rep,реп,svans,хвіст
69,пяро,перо,pero,ploma,pero,Feder,feather,pluma,plume,pero,piuma,penna,перо,veer,pióro,"pena, pluma","pană, fulg",перо,pero,pero,перо,fjäder,перо
70,валасы,косъм,vlas,"pèl, cabell",vlasy,Haar,hair,"cabello, pelo",cheveu,vlas,capelli,"capillus, coma, crinis",влакно,haar,włosy,"pelo, cabelo",păr,волосы,vlasy,lasje,влас,hår,волосся
71,галава,глава,glava,cap,hlava,"Kopf, Haupt",head,cabeza,tête,glava,testa,caput,глава,"hoofd, kop",głowa,cabeça,cap,голова,hlava,glava,глава,huvud,голова
72,вуха,ухо,uho,orella,ucho,Ohr,ear,oreja,oreille,uho,orecchio,auris,уво,oor,ucho,orelha,ureche,ухо,ucho,uho,уво,öra,вухо
73,вока,око,oko,ull,oko,Auge,eye,ojo,œil,oko,occhio,oculus,око,oog,oko,olho,ochi,глаз,oko,oko,око,öga,око
74,нос,нос,nos,nas,nos,Nase,nose,nariz,nez,nos,naso,nasus,нос,neus,nos,nariz,nas,нос,nos,nos,нос,näsa,ніс
75,вусны,уста,usta,boca,pusa,Mund,mouth,boca,bouche,usta,bocca,os,уста,mond,usta,boca,gură,рот,ústa,usta,уста,mun,рот
