2	ab	ady	ain	ale	arb	av	azj	ba	be	bg	bn	br	bsk	bua	ca	ce	ckt	cmn	cs	cv	cy	da	dar	ddo	de	ekk	el	en	enf	es	ess	eu	evn	fi	fr	ga	gld	he	hi	hr	hu	hy	is	it	itl	ja	ka	kca	ket	khk	kk	kl	kmr	kn	ko	koi	kpv	krl	la	lbe	lez	liv	lt	lv	mdf	mhr	ml	mnc	mns	mrj	myv	nio	niv	nl	no	olo	os	pbu	pes	pl	pt	ro	ru	sah	se	sel	sjd	sk	sl	sma	smj	smn	sms	sq	sv	ta	te	tr	tt	udm	uk	uzn	vep	xal	ykg	yrk	yux
Abend::N	ахəылҧаз, ахəлбыҽха	пчыхьэ́	onuman	angaliking-a	مساء	релъедамех	axşam	кис	вечар	вечер	সন্ধ্যা	abardaez	śaám	үдэшэ	vespre	суьйре	вулк’ытвин	晚上	večer	каҫ	noswaith	aften	бархӏехъ		Abend	õhtu	βράδυ	evening	пяуҫумнэ	noche	иӷивгаӄ	arrats	сиксэнӣ, долболтононӣ	ilta	soirée, soir	tráthnóna	сиксэ	ערב	संध्या, शाम	veče, večer	este	երեկո	kvöld	sera, serata		夕方, 晩	საღამო	ет	бись	үдэш	кеш	unnuk	êvar	ಸಂಜೆ	저녁	рыт	рыт	ilta	vesper	маркӏачӏан	няни	ȭ’dõg	vakaras	vakars	иля́дь	кас	സായാഹ്നം	yamji	э̄типа̄ла, ӣтипа̄ла	вады	чокшнэ	химтәкә, кундутуньде, кунтудему	парф	avond	aften	ildu, ehty	изӕр	ماښام	عصر, شب	wieczór	tardinha, noite	seară	вечер	киэһэ	eahket	ӱтын	е̄кьнэнч, е̄кесь	večer	večér	iehkede	iehket	eeḥid	jeä´ǩ'ǩääž	mbrëmje	kväll	மாலைப் பொழுது	సాయంకాలము	akşam	кич	ӝыт, акшан	вечір	oqshom	eht	асхн	авйааӻар	пэвсюмдё	joulə
Abhang::N	анаара	чапэ	san		منحدر	лабаллъи	yamac	ипкен	схіл	стръмнина, склон	ঢাল	naou	diráćo, ḍírukus	хүбдэг, ташалан	coster	басе	и’нныск’ын	斜坡	svah, stráň	тӑвайкки	llethr	skrænt, skråning	бяхӏ, катруг	гупӏ	Abhang	nõlvak	πλαγιά	slope		declive, cuesta		aldapa	ӈе̄вӯн	rinne	versant, pente	fána	дерин	מדרון, שפוע	ढलान, ढाल	obronak, nizbrdica	lejtő	լանջ, զառիվայր	brekka, hlíð	pendìo		斜面	ფერდობი		хунь, хун	хүр	бауыр	ippik, sivinganeq, sivingajaaq, kussangajaaq	kaş	ಇಳಿಜಾರು	몰매	покат	ньывк, бокша	riutta, termä	declivum	сун	гуьне	mä’gnaigā	šlaitas, nuokalnė	nogāze	па́нда ша́ма	та́йыл	ചരിവ്	fiyeleku	холмил	полом	пандочама	тамтүˮ, хиркү		helling	li, skråning	palte	къул	لمن	سرازیری	stok, zbocze	encosta	versant, pantă	склон	эниэ	vielti, luohkká	ӄэн мэнты	луэххк	úbočie	pobóčje	boelte, brijrie	bállte	viel'tti	vie´ltt	shpat, tatëpjetë	sluttning, slänt	சரிவு	ఏటవాలు	bayır	кабырга	бам	схил	to'sh	paute	ташу	чуойэ	лӑӈг	öŋžubə
Abstand::N	абжьара	азыфагу		quchx-	مسافة	манзил	məsafə	ара	прамежак	дистанция, разстояние	ফাঁক	distok		зай	distància	юкъ	вытгыр	距离	vzdálenost	хушӑ	bwlch, pellter	afstand	манзил		Abstand	vahe	απόσταση	gap	сԑхери дябу	distancia		tarte	сигдылэ̄	väljyys, väli	écart	achar		מרחק	फ़ासला, अंतर	odstojanje, razmak	köz	անջրպետ	millibil	distanza		距離	მანძილი	ят, кут		зай	ара, аралық	ikiaq, aku	dûrahî	ಅಂತರ	거리	колас	кост, коласт	väli	intervallum	манзил	ара	kougit	atstumas	atstarpe	ётка	кокла́	വിടവ്	funtuhu, jaka, siden	хал	ло	ютко	хоз̌и, дюты		afstand	avstand	väli	æхсæнуат	فاصله	فاصله	odstęp	distância	depărtare, distanță	промежуток	арыт	gaska	тэттыт шиты кота	кэ̄сск	vzdialenosť	preslédek	gåhkaldahke, gåhkoe	gasska, lahka	koskâ	kõskk	distancë	avstånd	இடைவெளி	సందు	aralık	ара	вис, кусып	проміжок	oralik	keskust	зә	ньаӈальаруул	поʼ(н)	oŋiľ
Ader::N	ада	льытф	rit	mani-x́	عرق	бидурихь	damar	тамыр	вена, сасуд	вена, артерия	শিরা	gwazhi	barés śo	һудаһан	vena	пха	тыёлгын	血管	céva	вена	gwythïen	åre	тум	миша	Ader	veen	φλέβα	vein		vena		zain	уӈикта	suoni	veine		хонгикта	וריד	रग, शिरा	žila	ér	երակ	æð	vena		血管	ძარღვი	вур ӆэр		судас	көктамыр, күретамыр	taqaq	reh	ನರ	정맥	сӧн	сӧн	suoni	vena	тунну	дамар	sūoņ, vēnõz	kraujagyslė	asinsvads	верза́н, сан	шӧн	ഞരമ്പ്	jun, sudala, me	ке̄лпта̄рс	вӹршӓр	сан	соӈкуо	тоӈс	ader	åre	suoni, verisuoni	дадзин, тугдадзин	رګ	رگ	żyła	veia	vână, arteră	сосуд, вена	күөх_тымыр, вена	varrasuotna		сӯнн	žila	žíla	aajroe, åerie	suodna	suoṇâ	suõnn	venë	åder	நாளம்	సిర	damar	тамыр	вирсэр	вена	qon tomir	son'	судцн	иӈдьии	вэ̇ямбаӈг	lepun-čugö
Alter::N	ақəра	ныбжь	pa	slu-x́	سن, عمر	гӏумру	yaş	йәш	узрост	възраст	আয়ু	oad	úmur	наһан	edat	хан	ынпыгыргын	年龄	věk	ҫул шучӗ	oed	alder	гӏямру		Alter	iga	ηλικία	age		edad	аӈталя	adin	анӈанӣл	ikä	âge	aois	сэ	גיל	उम्र, आयु	dob	kor	հասակ	aldur	età		年, 年齢	ასაკი	арт		нас	жас шамасы, жас	utoqqaq	temen	ಮುಪ್ಪು	연령		арлыд	ikä	aetas	оьрму	яш	igā	amžius	vecums	эряф кизот, эряфонь пинге	ийго́т	വയസ്സ്	mafa	та̄л янытэ	игечӹ, иӓш	шка	хүо ӈукәз̌үˮ, хүо	ань	leeftijd	alder	igä	кар	منګ	عمر, سن	wiek	idade	vârstă, etate	возраст	саас	ahki	пөры	ыгь	vek	dôba	aaltere	áldar	ahe	ââ´ǩǩ	moshë	ålder	வயது	వయస్సు	yaş	яшь	арлыд	вік, літа	yosh	igä	насн	сукунмольӻал	ёндерˮ	
Angelegenheit::N	аус	ӏофы́		maqa-x́	أمر, شأن	къваригӏел	iş	әш	справа	работа	বিষয়	afer	bar, duró	хэрэг	assumpte, afer	гӏуллакх	тайкыгыргын, тайкыё	事情	záležitost	ӗҫ	pwnc	sag, anliggende	хIянчи, биру-балтан, авара, къуллукъ	хӏалтӏи	Angelegenheit	asi	υπόθεση	matter	ҫер	asunto		afera	хава̄	asia	affaire	ábhar	байта	ענין	मामला, बात	posao	ügy	բան, գործ	mál, málefni	affare, faccenda		件	საქმე	вер		хэрэг	жұмыс		pirsgirêk	ವಿಚಾರ	용무	дело	делӧ, мог	ruanta, seikka, asie	res	иш	кар	ažā	dalykas, reikalas	darīšana	тев	паша́	കാര്യം	weile, sita	ва̄рмаль	дела, йела, йыла, пӓшӓ	тев	сиәр		aangelegenheid, zaak	sak, anliggende	dielo, azii	хъуыддаг	موضوع	قضیه, امر	sprawa	assunto	afacere	дело	дьыала	ášši	ӱры	тӯйй	záležitosť, vec	zadéva	saake, aate	ássje	äšši	ä´šš	punë	ärende, angelägenhet	செய்தி	విషయము	iş, husus	эш	уж	справа	daxl	azj	керг		серˮ	
Anhöhe::N	аҳаракыра	чӏыӏэтыгъ	tokse	aygi-x́	تل	сийитма	təpə	түбә, ҡалҡыулыҡ	узвышша	възвишение, могила	টিলা	run		добо	turó	акъари	эчынрыткын	山丘	pahorek	сӑрт	bryn	høj, bakke	муза	гупӏ	Anhöhe	küngas	ύψωμα	elevation	соҫи	cerro		garai, goragune	урэкэ̄н	kumpare, mäki	élévation, éminence	ard, ardán	гаонян	מעלה	पहाड़ी, टीला	uzvišica	magaslat	բարձունք	hóll, hæð	altura		高み	მაღლობი	саӈхам		гүвээ	адыр, дөң, қырат		sere gir	ದಿಬ್ಬ	언덕	вылынін, вывтас	мыльк, нӧрыс	mätäs	specula		тепе, гьуьндуьрвал	kāngar	kauburys	paugurs	губо́р	тӧва́, кӱкшака́	ഉയർന്ന ഭൂമി	bukduhun, kuru	урам	кӱкшикӓ	губорь, пандыне	хирәмы, хурәгәә моу	улаф	hoogte	bakke, haug	vuaru, ylängö	уæлвæз, уæлхох	غونډۍ	بلندی	wzgórze	outeiro, alto	ridicătură, deal	возвышенность	үрдэл	luohkká, aláš	тэттыллака	ка̄ннҌт	vyvýšenina, výšina	višína, gríč	deava, jalladahke	dievásj	tiävá, poorááš	ču´lpp, škâu´ŋŋ	bregore	höjd, backe	பதுக்கை	కొండ	tümsek, yükseklik	үр	вырйыл, выр	височина	adir	kukaz	хамр	монха	соты, пирця	
Anzahl::N	ахыҧхьаӡара	пчъагъэ́	pishki	asaati-x́	عدد	рикӏкӏен	say	һан	колькасць	брой, количество	পরিমাণ	niver	taadáat	тоо	nombre, quantitat	терахь	мыкгыргын	数目	počet	йыш, хисеп	cyfrif	antal	кьадар		Anzahl	hulk, arv	αριθμός	count	ок	cantidad	угляхтаталя	kopuru	таӈӯ	lukumäärä	nombre	líon	хамача̄-нӯ эгдилэ̄ни	מספר	तादाद, संख्या	broj, brojnost	szám	քանակ, գումար	tala, fjöldi	nùmero, quantità		数	ოდენობა	арат		тоо	сан, саны		çend	ಎಣಿಕೆ	어떤, 수	лыд	лыд, тшӧт	lukumiärä, luku	numerus	аьдад	сан, кьадар	lu’g	skaičius, kiekis	skaits, daudzums	лувкс	чот	എണ്ണം	be	са̄вит	шот	ламоксчи	ӈуӈкә		tal, aantal	antall	lugumiäry	бӕрц	شمېر, تعداد	شمار, عده	ilość	número, quantidade	număr, cantitate	количество	ахсаан	lohkomearra, mearri	торма	чӣссел	množstvo, počet	števílo	låhkoe, taale	låhko, mierre	meeṛi	mie´rr	sasi	antal	எண்ணிக்கை	లెక్క	sayı	микъдар	лыд	число	son	lugu	то		ӈокад	
Apfel::N	аҵəа	мыӏэры́с	ringo	yaavluka-x́	تفاح	гӏеч	alma	алма	яблык	ябълка	আপেল	aval	báalt	яблока	poma	ӏаж	яблоко	苹果	jablko	улма, пан улми	afal	æble	гӏинц	гьенеш	Apfel	õun	μήλο	apple		manzana	яблоко	sagar	яблоко	omena	pomme	úll	яблоко	תפוח	सेब	jabuka	alma	խնձոր	epli	mela	яблоко	林檎	ვაშლი	яблоко	яблоко	алим	алма	iipili	sêv	ಸೇಬು	사과	яблоко	яблӧг	omena	malum	гьивч	ич	umārz	obuolys	ābols	марь	олма́	ആപ്പിൾ	ping g'o	я̄блока	олма	умарь		яблоко	appel	eple	juablokku	фӕткъуы	مڼه	سیب	jabłko	maçã	măr	яблоко	яблоко	eppel, eahppel	яблоко	я̄блэк	jablko	jábolko	æbpla	ehpal			mollë	äpple	ஆப்பிள பழம்	ఆపిల్ పండు	elma	алма	яблок	яблуко	olma	jablok	альмн	йаабэлэкэ	яблока	
Arbeit::N	аусура	ӏофшӏакӏэ́н	mon	awa-x́	عمل	хӏалтӏи	iş, əmək	эш	праца, работа	труд, работа	চাকরি	labour	durumás	хүдэлмэри	treball, labor	болх	мигчир	劳动	práce	ӗҫхӗл, ӗҫлев	gwaith	arbejde	хӏянчи	хӏалтӏи	Arbeit	töö	εργασία	work	моса	trabajo	ӄыпӽаӄ	lan	хава̄	työ	travail	obair	дёбон	עבודה	काम	posao, rad	dolog	աշխատանք, գործ	vinna	lavoro	вэтвэт	仕事	მუშაობა	вер, рупата	лёвет	хөдөлмөр, ажил	еңбек	suliaq	xebat	ಕೆಲಸ	근로, 너무	удж	удж	työ, ruato	labor	заву	кӏвалах	tīe	darbas, triūsas	darbs	тев	паша́	ജോലി	hūda maiman, hūda, baita	рӯпата, ва̄рил	пӓшӓ	тев	ӈудибся, ӈәйбәуз̌а	орбот	werk, arbeid	arbeid	ruado	фӕллой	کار	کار	robota, praca	trabalho	lucru	работа	үлэ	bargu	учы	лыххк	robota, práca	délo	barkoe	rahtjam, barggo	tyej̣i, pargo	likk, tue´jj	punë	arbete	வேலை	పని	iş, çalışma	эш, хезмәт	уж	робота	ish	tö, rad	көдлмш	чаӻадьал	мӑнзӑя	ujl
